name,compatibility,description
Versatile,backpack,Amplifies total weapon damage for 10s when swapping between your primary and secondary weapons if they are different.  35% (45%) to enemies within 15m for Shotguns and SMGs 35% (45%) to enemies further than 25m for Rifles and MMRs 10% (20%) to enemies between 15-25m for LMGs and Assault Rifles.  At most once per 5s per weapon type.
Unstoppable Force,backpack,Killing an enemy increases total weapon damage by 5 (7)% for 15s.  Stacks up to 5 times.  Grenade kills add 2 stacks.
Companion,backpack,"While you are within 5 (10) m of an ally or skill, total weapon damage is increased by 15% (20%) Perfect is on named CHEST item Only."
Composure,backpack,"While in cover, increases total weapon damage by 15% (20%)."
Concussion,backpack,Headshots increase total weapon damage by 10% for 1.5s. 5s with marksman rifles.  Headshot kills increase total weapon damage by 15% for 10s.  Both buffs can be active for an increase of 25% total weapon damage
Wicked,backpack,Applying a status effect increases total weapon damage by 18% for 20s (27s).
Opportunistic,backpack,Enemies you hit with shotguns and marksman rifles amplifies the damage they take by 10% (15%) from all sources for 5s.
Clutch,backpack,"When you are below 15% (20%) armor, critical hits repair 2.5% of missing armor.  On kill, critical hits repair 2.5% of missing armor for 4 seconds. Lowest possible repair is 0% armour  Each red core attribute adds 1 second to the time. Maximum is 10 seconds."
Safeguard,backpack,"While at full armor, increases total skill repair by 130%."
Bloodsucker,backpack,Killing an enemy adds and refreshes a stack of +10% (12%) bonus armor for 10s. Max stack is 10.
Leadership,backpack,Performing a cover to cover grants 15% (20%) of your armor as bonus armor to you and all allies for 10s.  This is doubled (tripled) if you end within 10m of an enemy.   Cooldown: 10s.
Protector,backpack,"When your shield is damaged, you gain +5% and all other allies gain +15% of your armor as bonus armor for 3s.   Cooldown: 3s."
Adrenaline Rush,backpack,"When you are within 10m of an enemy, gain 20% (23%) bonus armor for 5s. Stacks up to 3 times.  Cooldown: 5s"
Galvanize,backpack,"Applying a Blind, Ensnare, Confuse, or Shock to an enemy grants 40% (50%) of your armor as bonus armor to you and all allies within 20m (30m) of that enemy for 10s"
Energize,backpack,"Using an armor kit grants +1 skill tier for 15s.  If already at skill tier 6, grants overcharge.   Cooldown: 60s (30s)"
Calculated,backpack,Kills from cover reduce skill cooldowns by 10% (15%).
Overclock,backpack,"You and allies within 7m (15) of your deployed skills, gain +25% (30) reload speed and reduces active cooldowns by 0.2 (0.6) each second."
Creeping Death,backpack,"When you apply a status effect, it is also applied to all enemies within 8m (10m) of your target.   Cooldown: 15s (10s)"
Accelerando,N/A,Decreases the number of stacks needed to proc the Symphony double buffs from 4 to 3.
Ace in the Sleeve,N/A,Amplifies 1 extra shot when revealing your hand.
Advanced Combat Tactics,N/A,Increases Ground Control proximity repair from 60% to 120%.
All for One,N/A,Increase the amount of marks that can be placed from 4 to 8.
Best Buds,N/A,Increase the damage buff from 25% to 50%.
Chain Combustion,N/A,Enemies set ablaze by the Ortiz Incinerator Turret Prototype ignite other enemies within 2m.
Cold,N/A,Stacks now supply +2% bonus armor.
Complete Uptime,N/A,Cancelling your skills will reset their cooldown.
Compiler Optimization,N/A,Decreases Hackstep Protocol cooldown from 20s to 15s.
Critical Measures,N/A,Increases Crowd Control damage to additional marked enemies from 60% to 112%.
Deceit,N/A,Enemies targeting your Decoy also count towards the Stoic Damage Reduction bonus.
Endless Hunger,N/A,Increases the duration of Apex Predator stacks from 10s to 30s.
Fortissimo,N/A,Double the weapon damage bonus from Symphony.
From the Shadows,N/A,"Increases max stacks for Into the Light from 50 to 100, stack gain from 10 to 20 and stack consumption from 10 to 20."
Heatstroke,N/A,+25% Weapon Damage to enemies set on fire by the Ortiz Incinerator Turret Prototype. +25% Ortiz Incinerator Turret Prototype Range.
Hivemind,N/A,Decrease the Overcharge cooldown from 40s to 25s.
Improved Materials,N/A,Decreases time taken for Makeshift Repairs from 10s to 5s.
Inner Core,N/A,Increase the percentage of the bonuses you receive from the other Cores from 40% to 60%.
Increased Interest,N/A,"For PvE: Increase the repairs received from Return to Sender from 10% to 25%, and from 20% to 35%. For PvP: Increase the repairs received from Return to Sender from 5% to 15%, and from 10% to 20%."
Into the Light,N/A,"Increases max stacks for From the Shadows from 50 to 100, stack gain from 10 to 20."
Lucky,N/A,Agents can miss a headshot before resetting the cycle.
Max BPM,N/A,Max stack is now 100.
Multithreaded Execution,N/A,Increases Hackstep Protocol bonus armor from 50% to 100%.
No Limit,N/A,Increases Dead Man's Hand damage bonus from 30% to 50%.
One for All,N/A,Increase the Weapon Damage bonus per stack from 3% to 5%.
Outer Core,N/A,This Talent does not provide a direct change to the Core Exercise Talent.
Over-engineered,N/A,"While at full Armor, repairs received from Return to Sender will provide Bonus Armor, up to 80% of your Total Armor. Does not apply to allies."
Overcharging,N/A,Increases Charging max incoming damage protection to 70%.
Overwhelming Force,N/A,Increases the radius of disorient on Apex Predator kills from 5m to 10m.
Parabellum Rounds,N/A,Increases Hollow-Point Ammo weapon damage amplification to 50%. Does not affect party ammo.
Patriotic Boost,N/A,"Increases Red, White, and Blue debuff strength. Red: From 8% to 12%. White: From 2% to 3%. Blue: From 8% to 12%."
Point of honor,N/A,Increases On Point Weapon Damage bonus from 4% to 7.2%.
Point of no Return,N/A,Increase On Point bonuses timer from 10s to 15s.
Polyethylene Plating,N/A,Increase Stoic Damage Resistance bonus from 4% to 5%.
Positive Reinforcement,N/A,Increases Feedback Loop skill damage and repair bonus from +10% to +25%.
Press the Advantage,N/A,Increases max stacks for Striker's Gamble from 100 to 200. 3 stacks lost per second between 101 and 200 stacks.
Process Refinery,N/A,Increases Makeshift Repairs from 25% over 10s to 35% over 10s.
Proliferation,N/A,Increases Indirect Transmission range from 10m to 15m. Increases refresh percentage from 50% to 75%.
Risk Management,N/A,Increases total weapon damage gained per stack of Striker's Gamble from 0.65% to 0.9%.
Safe Charging,N/A,Charging gives 10% protection per second.
Short Circuit,N/A,Decreases Feedback Loop cooldown from 10s to 5s.
Signature Moves,N/A,+50% Weapon Damage for 15s after fully depleting the Signature Weapon of ammo. Doubles the amount of ammo generated by Aggressive Recon.
Smart Cooperation,N/A,Decrease the cooldown for destroying Mortars and enemy skills from 10s to 1s.
Snowball,N/A,Increase the Critical Hit Damage received per stack from 4% to 7%.
Specialized Destruction,N/A,Increase Aggressive Recon Signature Weapon Damage bonus from 15% to 30%. Every 3rd Signature Weapon kill generates Signature Weapon ammo.
Stand Tall,N/A,Increases bonus Armor from 50% to 100%.
Sustainability,N/A,Increase the maximum number of stacks from 50 to 75.
Symptom Aggravator,N/A,Amplifies all damage you deal to status affected targets by 30%.
Tactical Superiority,N/A,Increases Ground Control damage bonus from 15% to 25%.
Target Rich Environment,N/A,Increases Crowd Control mark count from 3 to 5.
Trauma Specialist,N/A,Increases duration of bleed status effects by 50% and all bleed damage done by 100%.
Waving the Flag,N/A,"Increases Red, White, and Blue rotation speed to 1.5 seconds."
Ablative Nano-Plating,N/A,
Abridged,N/A,
Aggressive Recon,N/A,Getting a Signature Weapon kill gives +15% Signature Weapon Damage for 10s and +25% Reload Speed for the next reload of the weapon (the bonuses do not stack).  Automatically regenerate Signature Weapon Ammo every 60s.
Alternating Current,N/A,
Apex Predator,N/A,"Enemies within 15m receive a debuff, amplifying your weapon damage against them by +20%.  Killing a debuffed enemy with your weapon disorients other enemies within 5m, and amplifies weapon damage by 5% for 10s, stacking up to 5 times."
Bewildered,N/A,
Bleeding Edge,N/A,
Bob and Weave,N/A,
Bond,N/A,
Camaraderie,N/A,"Shooting an enemy marks them for 7 seconds.  When a marked enemy dies, receive one stack of 3% Weapon Damage and 2% Critical Hit Damage for each Ally or Skill that has contributed to killing that enemy.  Max stacks is 35. Stacks decay every 10 seconds.  Maximum amount of marks that can be placed is 4."
Challenger,N/A,
Charging,N/A,"For each second spent out of cover during combat, Agents will get 5% reduced incoming skill damage. Max 50%.  Charged: While fully charged, gain immunity to any movement speed debuff and share this with all of the agents hazard protection and the incoming skill damage with all allies for 10 seconds.  After Charged is consumed, Charging buff will resume if still in combat and out of cover."
Chemical Agent,N/A,
Combat Medic,N/A,
Core Exercise,N/A,"For each Core attribute, receive 40% of the other two Core Attributes' bonuses.  Skill Tiers count as 1% Skill Efficiency when these attributes are applied.  All pieces from this Gear Set, apart from the Backpack, will feature random Core Attributes."
Counter,N/A,
Crowd Control,N/A,"Critical hits mark enemies for 20s, up to 3 marks total.  When you critically hit a marked enemy, all other marked enemies take 60% of the damage dealt.  Whenever a marked enemy dies, gain +2% critical hit damage, stacking up to 20 times, or until combat ends."
Dead Man's Hand,N/A,"Flip a card when landing shots with a Rifle or Marksman rifle.  After 5 cards are flipped, the damage of your next shot is amplified by 30%.  More shots are enhanced the better the hand revealed.  Four of a Kind: 4 shots. Full House: 3 shots. Aces and Eights: 2 shots.  Flip an additional card on headshots."
Defibrillator,N/A,
Dragon's Glare,N/A,
Escape Plan,N/A,
Feedback Loop,N/A,"Whenever you use or cancel a skill, your other skill's cooldown is reduced by 30s, total skill repair is increased by 10% for 20s, and total skill damage is increased by 10% for 20s.  Cooldown: 10s."
Fireworks Show,N/A,
Flurry,N/A,
From the Shadows Into the Light,N/A,"From the Shadows: While out of cover and in combat, gain 10 Stacks per second up to 50. Each stack will give 0.8% Armor regen when it is consumed. Stacks consume, 10 stacks per second, only in cover.  Into the Light: While in cover, gain 10 Stacks per second up to 50. Each stack will give 1.2% Critical damage increase and 0.4% RPM. Buff does not apply while shooting from cover. While out of cover Agents lose 2 stacks per second at normal speed and 1 stack per second if sprinting."
Ground Control,N/A,"Increases you and your allies' total weapon and skill damage by 15% when at full armor.  When you repair an ally, you and all allies within 5m of you are also repaired for 60% of that amount."
Hackstep Protocol,N/A,"Replaces armor kits with an instant, infinite-use ability.  Grants 50% bonus armor for 5s. Hides your nameplate for 5s. Repairs 20% of your armor. Increases total weapon damage by 2% per 5% bonus armor gained, up to 20%.  Ability cooldown: 20s."
Headache,N/A,"First Headshot with a Marksman Rifle will increase next headshot by 20%, second consecutive headshot with a Marksman Rifle will give +10% armor (if at full armor it will give bonus armor max +50% of current armor value), third consecutive headshot will refill magazine.  From the fourth headshot forward agents will get all 3 bonuses for each consecutive headshot kill. Missing a headshot will reset the cycle."
Heartstopper,N/A,Headshots apply pulse for 5s.  Weapon hits on pulsed enemies add and refresh a stack of +1% bonus armor and +1.1% weapon damage to pulsed enemies for 5s. Max stack is 50.  Two stacks are lost per second.
Hoarder,N/A,
Huddle,N/A,"Receive +1 Skill Tier for each ally Agent that is within the range of the hive or Smart Cover. While at Skill Tier 6, having at least one ally Agent in the range of your Hive or Smart Cover for 4s will grant Overcharge for 15s. Cooldown: 40s.  Mortars and enemy Skills that enter the range of your Hive or Smart Cover will be destroyed. Cooldown: 10s. The cooldown is 20% faster for each ally agent within the range of your hive or smart cover."
Indirect Transmission,N/A,On kill: Spread status effects of that enemy to all enemies within 10m. Refresh 50% of status effect durations.
Iron Grip,N/A,
Kill Confirmed,N/A,
Makeshift Repairs,N/A,"Whenever you or your shield take damage, 25% of that amount is repaired to both over 10s."
On Point,N/A,"Hitting a shot with a rifle or MMR grants 1 stack, max stack equal to magazine size.  Reloading grants 2% handling and 4% WD per stack for 10s. No stacks gained while bonuses are active.  Once timer runs out magazine is refilled. Reloading will stop effect.  Reloading with stacks while inactive will remove all stacks and refill magazine."
One in the Hand... ...Two in the bag,N/A,
Ortiz Incinerator Turret Prototype,N/A,The Incinerator Turret spins 360 degrees. You are immune to your own Incinerator Turret's fire. The Incinerator Turret explodes when disabled.
Ostracize,N/A,
Over the top,N/A,
Pack Instincts,N/A,
Parkour!,N/A,
Perfect Adrenaline Rush,N/A,"When you are within 10m of an enemy, gain 20% (23%) bonus armor for 5s. Stacks up to 3 times.  Cooldown: 5s"
Perfect Bloodsucker,N/A,Killing an enemy adds and refreshes a stack of +10% (12%) bonus armor for 10s. Max stack is 10.
Perfect Braced,N/A,While in cover weapon handling is increased by 45% (50%).
Perfect Calculated,N/A,Kills from cover reduce skill cooldowns by 10% (15%).
Perfect Clutch,N/A,"When you are below 15% (20%) armor, critical hits repair 2.5% of missing armor.  On kill, critical hits repair 2.5% of missing armor for 4 seconds. Lowest possible repair is 0% armour  Each red core attribute adds 1 second to the time. Maximum is 10 seconds."
Perfect Combined Arms,N/A,Shooting an enemy increases total skill damage by 25% (30%) for 3s.
Perfect Companion,N/A,"While you are within 5 (10) m of an ally or skill, total weapon damage is increased by 15% (20%) Perfect is on named CHEST item Only."
Perfect Composure,N/A,"While in cover, increases total weapon damage by 15% (20%)."
Perfect Creeping Death,N/A,"When you apply a status effect, it is also applied to all enemies within 8m (10m) of your target.   Cooldown: 15s (10s)"
Perfect Efficient,N/A,Using an armor kit has a 50% (75%) chance to not consume the armor kit. Specialization armor kit bonuses are increased by 100%.  Requires 10 seconds to arm talent
Perfect Energize,N/A,"Using an armor kit grants +1 skill tier for 15s.  If already at skill tier 6, grants overcharge.   Cooldown: 60s (30s)"
Perfect Entrench,N/A,"If you are below 30% armor, headshots from cover repair 20% of your armor.  Cooldown: 2 (1) seconds."
Perfect Explosive Delivery,N/A,"Whenever you throw a skill, 1.5 seconds after landing, it creates an explosion damaging enemies within 5m.  Afterwards explosions will occur evey 5s.  Damage scales with skill tier dealing 25-100% damage of a concussion grenade.   Occurs once per skill.   Applies to Remote Pulse, All Turrets, All Hives, Explosive Seeker, Cluster Seeker, Mender Seeker, Decoy, All Traps."
Perfect Focus,N/A,"Increases total weapon damage by 5% (6%) every second you are aiming while scoped 8x or higher, up to 50% (60%)."
Perfect Galvanize,N/A,"Applying a Blind, Ensnare, Confuse, or Shock to an enemy grants 40% (50%) of your armor as bonus armor to you and all allies within 20m (30m) of that enemy for 10s"
Perfect Glass Cannon,N/A,All damage you deal is amplified by 25% (30%).  All damage you take is amplified by 50% (60%).
Perfect Gunslinger,N/A,Weapon swapping increases total weapon damage by 23% (28%) for 5s.  This buff is lost for 5s if you weapon swap while it is active.
Perfect Headhunter,N/A,"After killing an enemy with a headshot, your next weapon hit within 30s deals 125% (150%) of that killing blow's damage in addition to it. Damage is capped to 800% of your weapon damage. This is raised to 1250% if your headshot damage is greater than 150%."
Perfect Intimidate,N/A,"While you have bonus armour, gain 3 stacks each second up to a max of 9 (10). Each stack increases total weapon damage by 4% to enemies within 10m.  All stacks are lost when you have no bonus armour."
Perfect Kinetic Momentum,N/A,"When in combat, each skill generates stacks while active or not on cooldown  Each stack increases your total skill damage by 1.5% and total skill repair by 2%.  Up to 15 (18) stacks per skill. Stacks are lost when skills go on cooldown."
Perfect Leadership,N/A,Performing a cover to cover grants 15% (20%) of your armor as bonus armor to you and all allies for 10s.  This is doubled (tripled) if you end within 10m of an enemy.   Cooldown: 10s.
Perfect Mad Bomber,N/A,"Grenade Radius is increased by 50% (75%) Grenade that kill an enemy are refunded. Grenades can now be ''cooked'' by holding the fire button, making them explode earlier. Gain 15% bonus armor while aiming grendes"
Perfect Obliterate,N/A,Critical hits increase total weapon damage by 1% for 10s. Stacks up to 20 (24) times.
Perfect Opportunistic,N/A,Enemies you hit with shotguns and marksman rifles amplifies the damage they take by 10% (15%) from all sources for 5s.
Perfect Overclock,N/A,"You and allies within 7m (15) of your deployed skills, gain +25% (30) reload speed and reduces active cooldowns by 0.2 (0.6) each second."
Perfect Overwatch,N/A,"After staying in cover for 10s (8s), increase your and all allies' total weapon and skill damage by 12% (14%) as long as you remain in cover or in a cover-to-cover move."
Perfect Protected Reload,N/A,Grants +20% (40%) bonus armor while reloading.  Grants 0%-18% (0-30%) of your armor as bonus armor to all other allies when they are reloading  Each blue core attribute adds 3% to the bonus armour Maximum is 18%
Perfect Shock and Awe,N/A,Applying a status effect to an enemy increases total skill damage and repair by 20% for 20s (27s).
Perfect Skilled,N/A,Skill kills have a 25% (30%) chance to reset skill cooldowns.
Perfect Spark,N/A,Damaging an enemy with a skill increases total weapon damage by 15% (18%) for 15s (20s).
Perfect Spotter,N/A,Amplifies total weapon and skill damage by 15% (20%) to pulsed enemies.
Perfect Tamper Proof,N/A,"Enemies that walk within 3 meters of your hive, turret, remote pulse, or decoy are shocked. Arm time: 2 seconds. Cooldown per skill: 10 seconds.(8s)"
Perfect Tech Support,N/A,Skill kills increase total skill damage by 25% for 25s (27s).
Perfect Trauma,N/A,Applies blind to an enemy hit in the head. Cooldown: 30 (20) seconds. Applies bleed to an enemy hit in the chest. Cooldown: 30 (20) seconds.
Perfect Unbreakable,N/A,"When your armor is depleted, repair 95% (100%) of your armor. 60s (55s) cool down."
Perfect Unstoppable Force,N/A,Killing an enemy increases total weapon damage by 5 (7)% for 15s.  Stacks up to 5 times.  Grenade kills add 2 stacks.
Perfect Vanguard,N/A,Deploying a shield makes it invulnerable for 5s and grants 45% (50%) of your armor as bonus armor to all other allies for 20s.   Cooldown: 25s
Perfect Versatile,N/A,Amplifies total weapon damage for 10s when swapping between your primary and secondary weapons if they are different.  35% (45%) to enemies within 15m for Shotguns and SMGs 35% (45%) to enemies further than 25m for Rifles and MMRs 10% (20%) to enemies between 15-25m for LMGs and Assault Rifles.  At most once per 5s per weapon type.
Perfect Vigilance,N/A,Increases total weapon damage by 25%. Taking damage disables this buff for 4s (3s).
Perfect Wicked,N/A,Applying a status effect increases total weapon damage by 18% for 20s (27s).
Quick Draw,N/A,
Rebalance,N/A,
"Red, White and Blue",N/A,"Enemies you shoot receive stacking debuffs of Red/White/Blue. Changes every 2 seconds.  Red: Amplifies the enemy's damage taken by 8%. White: Hitting the enemy restores you and your allies' armor by 2% once every second. Blue: Decreases enemy damage dealt by 8%.  Full Flag: Enemies that die while under the effect of all three debuffs create a 5m explosion, dealing damage equal to their total health and armor. Explosion strength is reduced on Named enemy deaths."
Resourceful,N/A,
Return to Sender,N/A,For PvE: Receive repairs of 10% of the damage dealt by your Skills. Your allies will receive repairs of 20% of the damage dealt by your Skills.  For PvP: Receive repairs of 5% of the damage dealt by your Skills. Your allies will receive repairs of 10% of the damage dealt by your Skills.
Rules of Engagement,N/A,"Shooting a status affected enemy will apply a mark.  Killing a marked enemy grants a full clip of Hollow-Point Ammo for your active weapon, and half a clip of the agent's active weapon to the rest of the party.  Mark lasts for 10 seconds.  Hollow-Point Ammo amplifies weapon damage by 20% and applies bleed on hit."
Slotted,N/A,
Smoke Screen,N/A,
Stand Your Ground,N/A,
Stoic,N/A,"Get +4% Damage Resistance for every enemy that is targeting you.  The bonus is multiplied by 1.X, where X is the number of agents in your group."
Striker's Gamble,N/A,"Weapon hits increase total weapon damage by 0.65%, stacking up to 100 times. 1 stack lost per second between 0 to 50 stacks; 2 stacks lost per second between 51 and 100 stacks."
Symphony,N/A,"Kills Beyond 25 Meters: +40% Weapon Damage to Shotguns, SMGs, and Pistols; +20% Weapon Damage to Assault Rifles and LMGs; and +25% Bonus Armor for 15s.  Kills Within 25 Meters: +40% Weapon Damage to Marksman Rifles and Rifles; +20% Weapon Damage to Assault Rifles and LMGs; and +30% Headshot Damage for 15s.  Intermittently killing enemies from both ranges builds up stacks. At 4 stacks, all bonuses are multiplied by 1.5 and triggered simultaneously for 15s. No stacks gained while talent is active."
Tend and Befriend,N/A,"Interacting with your deployed skills grants the skill 25% skill damage for 10s. This buff cannot be refreshed.  Interactions include: Using / Deploying the Skill, Changing the skills target, Healing the skill."
Throttle Control,N/A,Shooting builds stacks to a max of 50. Each stack provides +0.5% Weapon Handling and +4% Critical Hit Damage.  Lose 6 stacks per second while not shooting. No stacks are lost if an enemy is Suppressed.
Toxic Delivery,N/A,
Transference Overclock,N/A,
Vicious Cycle,N/A,
Weakest Link,N/A,
