name,compatibility,description
Overflowing,assault-rifle,Every 3 reloads from empty increases your base magazine capacity by 100%.
Perfect Overflowing,N/A,Every 2 reloads from empty increases your base magazine capacity by 100%.
Stabilize,assault-rifle|lmg|smg,"Firing your weapon increases Weapon Accuracy by 1% and Weapon Stability by 1% per shot up to 60%. If you stop firing, the bonuses reset after 4 seconds."
Perfect Stabilize,N/A,"Firing your weapon increases Weapon Accuracy by 1% and Weapon Stability by 1% per shot up to 75%. If you stop firing, the bonuses reset after 6 seconds."
Naked,marksman-rifle,Hitting an enemy with no armor grants +50% headshot damage for 5s.
Perfect Naked,N/A,Hitting an enemy with no armor grants +50% headshot damage for 5s (8s).
First Blood,marksman-rifle,"If scoped, your first shot fired from out of combat or after fully reloading from empty deals headshot damage to any part of the body hit. Requires a Scope with 8x magnification or higher."
Perfect First Blood,N/A,"If scoped, your first (2) shot fired(s) from out of combat or after fully reloading from empty deals headshot damage to any part of the body hit. Requires a Scope with 8x magnification or higher."
Outsider,smg,"After killing an enemy, gain 100% optimal range and +100% accuracy for 10s."
Perfect Outsider,N/A,"After killing an enemy, gain 150% optimal range and +125% accuracy for 10s."
Unwavering,smg,Swapping to this weapon grants +300% weapon handling for 5s. Kills refresh the buff. Swapping away disables this from all weapons for 5s.
Perfect Unwavering,N/A,Swapping to this weapon grants +400% weapon handling for 5s. Kills refresh the buff. Swapping away disables this from all weapons for 5s.
Unhinged,lmg,Grants +18% weapon damage at the cost of -25% Stability and -25% Accuracy.
Perfect Unhinged,N/A,Grants +22% weapon damage at the cost of -25% Stability and -25% Accuracy.
Frenzy,lmg,"For every 10 bullets in the magazine capacity, gain +3% rate of fire and +3% weapon damage for 9s when reloading from empty."
Perfect Frenzy,N/A,"For every 8 bullets in the magazine capacity, gain +3% rate of fire and +3% weapon damage for 9s when reloading from empty."
Overwhelm,lmg,"Suppressing an enemy, that is not currently suppressed, grants +10% weapon damage for 12 seconds. Max stack is 4."
Perfect Overwhelm,N/A,"Suppressing an enemy, that is not currently suppressed, grants +12% weapon damage for 12 seconds. Max stack is 4."
Pummel,shotgun,3 consecutive kills refills the magazine and grants +40% weapon damage for 10s.
Perfect Pummel,N/A,2 consecutive kills refills the magazine and grants +40% weapon damage for 10s.
Pumped Up,shotgun,Reloading grants +1.2% weapon damage for 10s. Stacks up to 25 times.
Perfect Pumped Up,N/A,Reloading grants +6% weapon damage for 10s. Stacks up to 5 times.
Brazen,shotgun,"Receive +3.5% Amplified Damage on the next shot with the weapon for each pellet that hits the target, if at least 6 pellets hit."
Perfect Brazen,N/A,"Receive +3.5% Amplified Damage on the next shot with the weapon for each pellet that hits the target, if at least 4 pellets hit."
Salvage,pistol,Killing a target has a +70% chance to refill the magazine.
Perfect Salvage,N/A,Killing a target has a +85% chance to refill the magazine.
Finisher,pistol,Swapping from this weapon within 10s of killing an enemy grants 30% critical hit chance and 30% critical hit damage for 15s.
Perfect Finisher,N/A,Swapping from this weapon within 10s of killing an enemy grants 35% critical hit chance and 40% critical hit damage for 15s.
Back and Forth,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Swapping to this weapon grants +10% Rate of Fire and +9% Weapon Damage for 10s. Swapping from this weapon grants +5% Rate of Fire and +4.5% Weapon Damage for 10s. Receiving one of the bonus groups will remove the other if it's still active. Two instances of this talent will not function at the same time.
Perfect Back and Forth,N/A,Swapping to this weapon grants +13% Rate of Fire and +12% Weapon Damage for 10s. Swapping from this weapon grants +5% Rate of Fire and +4.5% Weapon Damage for 10s. Receiving one of the bonus groups will remove the other if it's still active. Two instances of this talent will not function at the same time.
Perfect Allegro,N/A,12% rate of fire.
Perfect Accurate,N/A,30% accuracy.
Extra,shotgun,+20% magazine capacity.
Perfect Extra,N/A,+30% magazine capacity.
Distance,shotgun,+20% optimal range.
Perfect Distance,N/A,+25% optimal range.
Perfect Jazz Hands,N/A,12% reload speed.
Perfect Optimized,N/A,20% weapon handling.
Actum Est,N/A,
Adaptive Instincts,N/A,
Agonizing Bite,N/A,
Ardent,N/A,
Autentico,N/A,
Big Game Hunter,N/A,
Binary Trigger,N/A,
Breathe Free,N/A,
Bullet Hell,N/A,
Busy Little Bee,N/A,
Capacitance,N/A,
Capitulate,N/A,
Cover Shooter,N/A,
Disruptor Rounds,N/A,
Doctor Home,N/A,
Eagle's Strike,N/A,
Electromagnetic Accelerator,N/A,
Faster Than Reloading,N/A,
Full Stop,N/A,
Geri and Freki,N/A,
Hidden Rock,N/A,
High Priority Target,N/A,
In Plain Sight,N/A,
Incessant Chatter,N/A,
Liberty or Death,N/A,
Mosquito Song,N/A,
Ortiz Assault Interface,N/A,
Pakhan,N/A,
Payment in Kind,N/A,
Perturb,N/A,
Plague of the Outcasts,N/A,
Primer Rounds,N/A,
Refreshing,N/A,
Regicide,N/A,
Restrained,N/A,
Rule Them All,N/A,
Sandman,N/A,
Septic Shock,N/A,
Sport Mode,N/A,
Swift,N/A,
Symbiosis,N/A,
The Trap,N/A,
Transfusion,N/A,
Unnerve,N/A,
